"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43128599999","2024-01-01T05:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","090,1,N,0031,1","99999,9,9,N","004000,1,9,9","+0250,1","+0170,1","99999,9",,"04,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10200,1,99999,9","05,1",,,"MET060METAR VOHS 010530Z 09006KT 4000 HZ SCT010 25/17 Q1020 NOSIG=",
"43128599999","2024-01-01T06:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0026,1","99999,9,9,N","004000,1,9,9","+0260,1","+0160,1","99999,9",,"04,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10190,1,99999,9","05,1",,,"MET060METAR VOHS 010600Z 10005KT 4000 HZ SCT010 26/16 Q1019 NOSIG=",
"43128599999","2024-01-01T06:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0270,1","+0150,1","99999,9",,"04,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10190,1,99999,9","05,1",,,"MET060METAR VOHS 010630Z 11006KT 5000 HZ SCT010 27/15 Q1019 NOSIG=",
"43128599999","2024-01-01T07:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0026,1","99999,9,9,N","005000,1,9,9","+0270,1","+0150,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET060METAR VOHS 010700Z 08005KT 5000 HZ SCT020 27/15 Q1018 NOSIG=",
"43128599999","2024-01-01T07:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0021,1","99999,9,9,N","005000,1,9,9","+0270,1","+0140,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET060METAR VOHS 010730Z 11004KT 5000 HZ FEW020 27/14 Q1017 NOSIG=",
"43128599999","2024-01-01T08:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0270,1","+0140,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET060METAR VOHS 010800Z 10006KT 5000 HZ FEW020 27/14 Q1017 NOSIG=",
"43128599999","2024-01-01T08:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0026,1","99999,9,9,N","005000,1,9,9","+0280,1","+0150,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10160,1,99999,9","05,1",,,"MET060METAR VOHS 010830Z 08005KT 5000 HZ FEW020 28/15 Q1016 NOSIG=",
"43128599999","2024-01-01T09:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","090,1,N,0026,1","99999,9,9,N","005000,1,9,9","+0280,1","+0140,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10160,1,99999,9","05,1",,,"MET060METAR VOHS 010900Z 09005KT 5000 HZ FEW020 28/14 Q1016 NOSIG=",
"43128599999","2024-01-01T09:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","090,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0280,1","+0140,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10160,1,99999,9","05,1",,,"MET060METAR VOHS 010930Z 09006KT 5000 HZ FEW020 28/14 Q1016 NOSIG=",
"43128599999","2024-01-01T10:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0280,1","+0140,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10150,1,99999,9","05,1",,,"MET060METAR VOHS 011000Z 08006KT 5000 HZ FEW020 28/14 Q1015 NOSIG=",
"43128599999","2024-01-01T10:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0280,1","+0130,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10150,1,99999,9","05,1",,,"MET060METAR VOHS 011030Z 10006KT 5000 HZ FEW020 28/13 Q1015 NOSIG=",
"43128599999","2024-01-01T11:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","090,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0270,1","+0140,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10150,1,99999,9","05,1",,,"MET060METAR VOHS 011100Z 09006KT 5000 HZ FEW020 27/14 Q1015 NOSIG=",
"43128599999","2024-01-01T11:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0260,1","+0140,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10160,1,99999,9","05,1",,,"MET060METAR VOHS 011130Z 08007KT 5000 HZ FEW020 26/14 Q1016 NOSIG=",
"43128599999","2024-01-01T12:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0046,1","99999,9,9,N","005000,1,9,9","+0250,1","+0140,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10160,1,99999,9","05,1",,,"MET060METAR VOHS 011200Z 08009KT 5000 HZ FEW020 25/14 Q1016 NOSIG=",
"43128599999","2024-01-01T12:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","080,1,N,0041,1","99999,9,9,N","005000,1,9,9","+0240,1","+0150,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10160,1,99999,9","05,1",,,"MET060METAR VOHS 011230Z 08008KT 5000 HZ FEW020 24/15 Q1016 NOSIG=",
"43128599999","2024-01-01T13:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","090,1,N,0036,1","99999,9,9,N","005000,1,9,9","+0240,1","+0150,1","99999,9",,"02,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10170,1,99999,9","05,1",,,"MET060METAR VOHS 011300Z 09007KT 5000 HZ FEW020 24/15 Q1017 NOSIG=",
