"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"42182099999","2024-01-01T00:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0108,1","+0100,1","10189,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,"9,9,999,9,+003,1","11,1",,,"SYN05242182 31993 00000 10108 20100 40189 71100 333 58003=",
"42182099999","2024-01-01T06:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","000500,1,9,9","+0134,1","+0103,1","10206,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,"9,9,999,9,-002,1","11,1",,,"SYN05242182 31993 02004 10134 20103 40206 71144 333 59002=",
"42182099999","2024-01-01T09:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","200,1,N,0026,1","99999,9,9,N","000500,1,9,9","+0166,1","+0089,1","10171,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,"9,9,999,9,-009,1","04,1",,,"SYN05242182 31993 02005 10166 20089 40171 70440 333 59009=",
"42182099999","2024-01-01T12:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0126,1","+0086,1","10174,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,"9,9,999,9,+000,1","11,1",,,"SYN05842182 31993 02002 10126 20086 40174 71140 333 10170 58000=",
"42182099999","2024-01-01T15:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0112,1","+0088,1","10186,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,"9,9,999,9,-005,1","11,1",,,"SYN05242182 31993 00000 10112 20088 40186 71144 333 59005=",
"42182099999","2024-01-01T18:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0104,1","+0088,1","10194,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,"9,9,999,9,+001,1","11,1",,,"SYN05242182 31993 00000 10104 20088 40194 71144 333 58001=",
"42182099999","2024-01-01T21:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0096,1","+0088,1","10190,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,"9,9,999,9,+000,1","11,1",,,"SYN05242182 31993 00000 10096 20088 40190 71144 333 58000=",
"42182099999","2024-01-02T00:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0096,1","+0084,1","10179,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,"9,9,999,9,-010,1","11,1",,,"SYN05242182 31993 01802 10096 20084 40179 71144 333 59010=",
"42182099999","2024-01-02T03:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0100,1","+0075,1","10195,1",,"4,1,02,1","4,1,02,1",,,,,,,"240,M,+0170,1","240,N,+0083,1",,"9,9,999,9,-007,1","11,1",,,"SYN07442182 31993 02902 10100 20075 40195 71144 333 10170 20083 59007 555 10023=",
"42182099999","2024-01-02T06:00:00","4","28.584511","77.205783","214.88","SAFDARJUNG, IN","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","000500,1,9,9","+0126,1","+0068,1","10202,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,"9,9,999,9,-005,1","04,1",,,"SYN05242182 31993 02002 10126 20068 40202 70440 333 59005=",
