tmpf_c,dwpf_c,relh,drct,sknt,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,airport,hour,low_visibility,LATITUDE,LONGITUDE,ELEVATION,hour_of_day,day,month,wx_+SHRA,wx_+TSRA,wx_-SHRA,wx_-TSRA,"wx_-TSRA,fog","wx_-TSRA,haze",wx_BLDU,wx_Heavy DZ,wx_Heavy RA,wx_In the vicinity RA,wx_In the vicinity SH,wx_In the vicinity TS,wx_Light DZ,wx_Light RA,wx_Light TS,wx_MIFG,"wx_MIFG,fog",wx_Moderate BR,wx_Moderate DS,wx_Moderate DU,wx_Moderate DZ,wx_Moderate FG,wx_Moderate FU,wx_Moderate HZ,wx_Moderate RA,wx_Moderate TS,wx_NoWX,"wx_NoWX,fog","wx_NoWX,gusty","wx_NoWX,haze",wx_SHRA,"wx_SHRA,haze,tempo,gusty",wx_TSRA,temp_diff,turbulence
28,13,39,100,6,1015,3,6,2,1,1,1,2000,999,999,999,2,10,0,17.2333333,78.4166666,617,10,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15,0
27,14,44,90,6,1015,3,6,2,1,1,1,2000,999,999,999,2,11,0,17.2333333,78.4166666,617,11,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,13,0
26,14,47,80,7,1016,3,7,2,1,1,1,2000,999,999,999,2,11,0,17.2333333,78.4166666,617,11,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,12,0
25,14,50,80,9,1016,3,9,2,1,1,1,2000,999,999,999,2,12,0,17.2333333,78.4166666,617,12,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,11,0
24,15,57,80,8,1016,3,8,2,1,1,1,2000,999,999,999,2,12,0,17.2333333,78.4166666,617,12,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9,0
24,15,57,90,7,1017,3,7,2,1,1,1,2000,999,999,999,2,13,0,17.2333333,78.4166666,617,13,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9,0
23,16,64,100,6,1017,3,6,2,1,1,1,2000,999,999,999,2,13,0,17.2333333,78.4166666,617,13,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7,0
22,16,68,100,7,1018,3,7,2,1,1,1,2000,999,999,999,2,14,0,17.2333333,78.4166666,617,14,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6,0
22,16,68,110,5,1018,3,5,2,1,1,1,2000,999,999,999,2,14,0,17.2333333,78.4166666,617,14,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6,0
22,16,68,110,7,1018,3,7,2,1,1,1,2000,999,999,999,2,15,0,17.2333333,78.4166666,617,15,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6,0
21,16,73,120,7,1018,3,7,2,1,1,1,2000,999,999,999,2,15,0,17.2333333,78.4166666,617,15,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5,0
21,16,73,130,7,1018,3,7,2,1,1,1,2000,999,999,999,2,16,0,17.2333333,78.4166666,617,16,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5,0
20,16,77,120,7,1019,3,7,2,1,1,1,2000,999,999,999,2,16,0,17.2333333,78.4166666,617,16,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,0
19,16,82,120,7,1018,3,7,2,1,1,1,2000,999,999,999,2,17,0,17.2333333,78.4166666,617,17,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,0
19,16,82,110,7,1018,2,7,2,1,1,1,2000,999,999,999,2,17,0,17.2333333,78.4166666,617,17,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,0
19,16,82,120,7,1018,2,7,2,1,1,1,2000,999,999,999,2,18,0,17.2333333,78.4166666,617,18,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,0
18,16,88,120,7,1017,2,7,2,1,1,1,2000,999,999,999,2,18,0,17.2333333,78.4166666,617,18,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,0
18,16,88,120,7,1017,2,7,2,1,1,1,2000,999,999,999,2,19,0,17.2333333,78.4166666,617,19,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,0
18,16,88,120,7,1017,2,7,2,1,1,1,2000,999,999,999,2,19,0,17.2333333,78.4166666,617,19,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,0
17,16,93,130,7,1017,2,7,2,1,1,1,2000,999,999,999,2,20,0,17.2333333,78.4166666,617,20,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0
17,16,93,140,7,1017,1,7,2,1,1,1,2000,999,999,999,2,20,1,17.2333333,78.4166666,617,20,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0
17,16,93,140,7,1016,1,7,2,1,1,1,2000,999,999,999,2,21,1,17.2333333,78.4166666,617,21,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0
16,15,93,110,4,1016,1,4,4,1,1,1,1000,999,999,999,2,21,1,17.2333333,78.4166666,617,21,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
16,15,93,120,4,1016,1,4,4,1,1,1,1000,999,999,999,2,22,1,17.2333333,78.4166666,617,22,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
15,14,93,230,3,1016,1,3,4,1,1,1,800,999,999,999,2,22,1,17.2333333,78.4166666,617,22,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
15,14,93,100,4,1016,0,4,0,1,1,1,800,999,999,999,2,23,1,17.2333333,78.4166666,617,23,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
15,14,93,120,4,1016,0,4,0,1,1,1,800,999,999,999,2,23,1,17.2333333,78.4166666,617,23,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
16,14,87,120,4,1017,0,4,0,1,1,1,800,999,999,999,2,0,1,17.2333333,78.4166666,617,0,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
15,14,93,140,4,1017,0,4,0,1,1,1,800,999,999,999,2,0,1,17.2333333,78.4166666,617,0,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0
